Arsenal,26,9
Liverpool,24,8
Manchester_U,24,5
Newcastle,21,8
Leeds,18,12
Chelsea,17,13
West_Ham,15,8
Aston_Villa,12,14
Tottenham,14,8
Blackburn,12,10
Southampton,12,9
Middlesbrough,12,9
Fulham,10,14
Charlton,10,14
Everton,11,10
Bolton,9,13
Sunderland,10,10
Ipswich,9,9
Derby,8,6
Leicester,5,13
